main_class,middle_class,sub_class,width,height,center_x,center_y,x1,y1,x2,y2,x3,y3,x4,y4,rot_degree,arma3_class
Armored,IFV,BMP-2,21.533050000000003,34.55025,755.0,581.0,758.0,600.0,740.0,593.0,752.0,562.0,770.0,569.0,200.0,CUP_B_BMP2_CZ
Armored,APC,Boxer,16.085230000000003,35.28644,377.0,260.0,389.0,274.0,374.0,278.0,365.0,246.0,380.0,242.0,164.0,CUP_B_Boxer_Empty_GER_WDL
Armored,ASV,BRDM-2,18.93486,25.88355,300.0,588.0,295.0,601.0,286.0,587.0,305.0,575.0,314.0,589.0,239.0,CUP_B_BRDM2_CDF
Armored,ASV,BRDM-2,18.93486,25.88355,520.0,673.0,527.0,660.0,534.0,676.0,513.0,686.0,506.0,670.0,66.0,CUP_B_BRDM2_CDF
Armored,ASV,BRDM-2,18.93486,25.88355,891.0,424.0,885.0,437.0,877.0,422.0,897.0,411.0,905.0,426.0,242.0,CUP_B_BRDM2_CZ
Armored,ASV,BRDM-2,18.93486,25.88355,925.0,366.0,926.0,352.0,939.0,364.0,924.0,380.0,911.0,368.0,43.0,CUP_B_BRDM2_CZ
Armored,IFV,LAV-25,19.88749,30.55094,520.0,171.0,515.0,155.0,532.0,159.0,525.0,187.0,508.0,183.0,14.0,CUP_B_LAV25_desert_USMC
Armored,APC,LAV-C2,15.97981,30.55094,358.0,414.0,361.0,430.0,348.0,426.0,355.0,398.0,368.0,402.0,194.0,CUP_B_LAV25_HQ_desert_USMC
Armored,APC,LAV-C2,15.97981,30.55094,867.0,318.0,866.0,334.0,854.0,327.0,868.0,302.0,880.0,309.0,210.0,CUP_B_LAV25_HQ_desert_USMC
Armored,APC,LAV-C2,15.97981,30.55094,1105.0,88.0,1121.0,91.0,1112.0,102.0,1089.0,85.0,1098.0,74.0,128.0,CUP_B_LAV25_HQ_desert_USMC
Armored,APC,LAV-C2,15.97981,30.55094,565.0,526.0,549.0,527.0,554.0,515.0,581.0,525.0,576.0,537.0,290.0,CUP_B_LAV25_HQ_USMC
Armored,APC,LAV-C2,15.97981,30.55094,955.0,346.0,970.0,352.0,959.0,361.0,940.0,340.0,951.0,331.0,140.0,CUP_B_LAV25_HQ_USMC
Support,Mil_car,HMMWV,17.84734,24.11325,146.0,93.0,157.0,85.0,158.0,100.0,135.0,101.0,134.0,86.0,88.0,CUP_B_nM1097_AVENGER_USMC_DES
Support,Mil_car,HMMWV,17.84734,24.11325,1253.0,313.0,1255.0,327.0,1241.0,320.0,1251.0,299.0,1265.0,306.0,203.0,CUP_B_nM1097_AVENGER_USMC_DES
Armored,MRAP,CGR,15.968609999999998,26.76772,1156.0,391.0,1142.0,391.0,1148.0,379.0,1170.0,391.0,1164.0,403.0,298.0,rhsusf_CGRCAT1A2_usmc_wd
Helicopter,UH,UH-60,66.65218,80.997,983.0,530.0,1021.0,495.0,1024.0,560.0,945.0,565.0,942.0,500.0,87.0,RHS_UH60M2
