main_class,middle_class,sub_class,width,height,center_x,center_y,x1,y1,x2,y2,x3,y3,x4,y4,rot_degree,arma3_class
civilian,car,car,13.53674,30.08432,431.0,609.0,444.0,617.0,434.0,624.0,418.0,601.0,428.0,594.0,145.0,CUP_C_Bus_City_CRCIV
civilian,car,car,13.53674,30.08432,663.0,383.0,664.0,367.0,674.0,373.0,662.0,399.0,652.0,393.0,26.0,CUP_C_Bus_City_CRCIV
civilian,car,car,12.140450000000001,20.29818,38.0,340.0,39.0,351.0,29.0,346.0,37.0,329.0,47.0,334.0,204.0,CUP_C_Golf4_camodark_Civ
civilian,car,car,12.140450000000001,20.29818,274.0,558.0,267.0,549.0,278.0,548.0,281.0,567.0,270.0,568.0,354.0,CUP_C_Golf4_camodark_Civ
civilian,car,car,12.140450000000001,20.29818,428.0,71.0,435.0,63.0,439.0,73.0,421.0,79.0,417.0,69.0,73.0,CUP_C_Golf4_camodark_Civ
civilian,car,car,14.823480000000002,50.39069,82.0,326.0,77.0,351.0,64.0,344.0,87.0,301.0,100.0,308.0,209.0,CUP_C_Ikarus_Chernarus
civilian,car,car,14.504349999999999,24.186329999999998,18.0,287.0,30.0,293.0,18.0,300.0,6.0,281.0,18.0,274.0,147.0,CUP_C_Octavia_CIV
civilian,car,car,14.504349999999999,24.186329999999998,621.0,547.0,609.0,543.0,619.0,534.0,633.0,551.0,623.0,560.0,321.0,CUP_C_Octavia_CIV
civilian,car,car,12.09334,18.49253,838.0,71.0,847.0,75.0,838.0,81.0,829.0,67.0,838.0,61.0,150.0,CUP_C_Skoda_Blue_CIV
civilian,car,car,21.0,40.1051,632.0,604.0,646.0,587.0,654.0,605.0,618.0,621.0,610.0,603.0,66.0,C_Van_02_medevac_F
civilian,car,car,21.0,40.1051,780.0,290.0,797.0,277.0,801.0,296.0,763.0,303.0,759.0,284.0,80.0,C_Van_02_medevac_F
civilian,car,car,11.940529999999999,23.397009999999998,151.0,640.0,146.0,650.0,140.0,642.0,156.0,630.0,162.0,638.0,232.0,gm_ge_ff_typ1200
civilian,car,car,11.940529999999999,23.397009999999998,426.0,291.0,415.0,295.0,416.0,286.0,437.0,287.0,436.0,296.0,273.0,gm_ge_ff_typ1200
