main_class,middle_class,sub_class,width,height,center_x,center_y,x1,y1,x2,y2,x3,y3,x4,y4,rot_degree,arma3_class
Armored,IFV,BMP-2,21.533050000000003,34.55025,152.0,666.0,149.0,685.0,134.0,671.0,155.0,647.0,170.0,661.0,222.0,CUP_O_BMP2_TKA
Armored,ASV,BRDM-2,18.93486,25.88355,167.0,251.0,153.0,252.0,162.0,238.0,181.0,250.0,172.0,264.0,301.0,CUP_O_BRDM2_ATGM_RUS
Armored,ASV,BRDM-2,18.93486,25.88355,1085.0,393.0,1076.0,404.0,1072.0,388.0,1094.0,382.0,1098.0,398.0,255.0,CUP_O_BRDM2_ATGM_TKA
LCU,LCU,LCVP,19.88959,51.19107,534.0,506.0,512.0,520.0,508.0,503.0,556.0,492.0,560.0,509.0,258.0,CUP_O_LCVP_SLA
Armored,APC,MT-LB,21.70861,32.53201,799.0,654.0,797.0,672.0,782.0,659.0,801.0,636.0,816.0,649.0,220.0,CUP_O_MTLB_pk_TK_MILITIA
Armored,IFV,BMP-2,21.533050000000003,32.48455,272.0,138.0,254.0,142.0,261.0,124.0,290.0,134.0,283.0,152.0,289.0,cwr3_o_bmp2_zu23
Armored,ASV,BRDM-2,18.93486,25.88355,422.0,394.0,418.0,408.0,408.0,394.0,426.0,380.0,436.0,394.0,236.0,cwr3_o_brdm2um
Armored,APC,MT-LB,21.70861,32.53201,361.0,315.0,368.0,298.0,379.0,315.0,354.0,332.0,343.0,315.0,56.0,cwr3_o_mtlb_repair
Armored,APC,SKOT-2A,15.8655,37.07039,884.0,444.0,867.0,452.0,866.0,439.0,901.0,436.0,902.0,449.0,264.0,gm_pl_army_ot64a
Armored,IFV,BMD-1,18.661859999999997,27.91215,547.0,676.0,558.0,666.0,560.0,683.0,536.0,686.0,534.0,669.0,83.0,rhs_bmd1k
Armored,IFV,BMD-4,27.96297,31.51463,887.0,512.0,889.0,493.0,906.0,512.0,885.0,531.0,868.0,512.0,47.0,rhs_bmd4m_vdv
Armored,IFV,BMD-4,27.96297,31.51463,1111.0,295.0,1108.0,276.0,1129.0,289.0,1114.0,314.0,1093.0,301.0,31.0,rhs_bmd4m_vdv
